acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,date
2024-04-04 04:49:12.130126+00:00,0,71,83,0,0,True,3.9,0,PSB.SD,PSScene,17,3,planetscope,2024-04-04T08:53:20Z,finalized,standard,99.6,24eb,0,0,7220363,128.2,64.7,2024-04-05T03:59:06Z,5.0,63,100,20240404_044912_13_24eb,20240404
2024-04-09 04:51:57.247305+00:00,0,79,68,0,0,True,3.9,0,PSB.SD,PSScene,32,3,planetscope,2024-04-09T09:08:05Z,finalized,standard,275.7,24fc,0,0,7230973,125.6,66.2,2024-04-10T04:32:07Z,3.2,69,100,20240409_045157_24_24fc,20240409
