acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,date
2024-04-04 04:40:37.552698+00:00,0,93,77,0.04,4,True,3.3,0,PSB.SD,PSScene,18,3,planetscope,2024-04-04T21:58:15Z,finalized,standard,275.4,2427,1,0,7220357,122.4,54.1,2024-04-05T04:04:39Z,2.8,71,96,20240404_044037_55_2427,20240404
2024-04-09 05:23:58.427005+00:00,0,98,97,0.0,0,True,3.9,0,PSB.SD,PSScene,3,3,planetscope,2024-04-09T21:58:49Z,finalized,standard,248.9,24d2,0,0,7231559,135.3,63.3,2024-04-10T10:02:38Z,0.4,89,100,20240409_052358_42_24d2,20240409
